entity_id,route,origin,destination,delay_rate,weather_risk,supplier_reliability,timestamp,region,risk_score,risk_level
E0001,LAX-SIN,Los Angeles,Singapore,6.3,33.78,97.47,2026-01-01T01:00:00,APAC,22.89184072833945,Low
E0002,MUM-DXB,Mumbai,Dubai,70.02,72.48,73.27,2026-01-01T02:00:00,APAC,55.892676596280786,Medium
E0003,RTM-NYC,Rotterdam,New York,66.4,30.44,10.5,2026-01-01T03:00:00,APAC,66.10396879867073,Medium
E0004,MUM-DXB,Mumbai,Dubai,57.61,84.15,16.21,2026-01-01T04:00:00,EMEA,72.60902043589046,High
E0005,RTM-NYC,Rotterdam,New York,1.38,9.68,82.57,2026-01-01T05:00:00,LATAM,8.673160218314745,Low
E0006,HAM-JKT,Hamburg,Jakarta,60.42,20.77,3.55,2026-01-01T06:00:00,APAC,65.08633527455133,Medium
E0007,LAX-SIN,Los Angeles,Singapore,64.18,97.73,47.88,2026-01-01T07:00:00,APAC,71.34259552985529,High
E0008,SGP-SZX,Singapore,Shenzhen,31.53,40.35,49.42,2026-01-01T08:00:00,APAC,45.558964579154306,Medium
E0009,HAM-JKT,Hamburg,Jakarta,27.24,64.54,39.37,2026-01-01T09:00:00,EMEA,42.74820449013319,Medium
E0010,RTM-NYC,Rotterdam,New York,88.66,37.57,45.13,2026-01-01T10:00:00,APAC,60.896789068433506,Medium
E0011,RTM-NYC,Rotterdam,New York,44.53,27.08,83.87,2026-01-01T11:00:00,unknown,31.949970363488717,Medium
E0012,SHA-HKG,Shanghai,Hong Kong,7.1,75.47,67.08,2026-01-01T12:00:00,EMEA,43.483974832729025,Medium
E0013,SGP-SZX,Singapore,Shenzhen,67.15,81.01,41.98,2026-01-01T13:00:00,EMEA,67.91797680120997,Medium
E0014,SHA-HKG,Shanghai,Hong Kong,23.52,7.04,39.32,2026-01-01T14:00:00,APAC,37.50342419906245,Medium
E0015,SHA-HKG,Shanghai,Hong Kong,42.44,54.02,86.82,2026-01-01T15:00:00,EMEA,38.30521298240997,Medium
E0016,MUM-DXB,Mumbai,Dubai,57.7,24.33,30.59,2026-01-01T16:00:00,EMEA,47.03858082677165,Medium
E0017,MUM-DXB,Mumbai,Dubai,90.37,71.72,50.71,2026-01-01T17:00:00,LATAM,70.20077180523752,High
E0018,SHA-HKG,Shanghai,Hong Kong,80.24,68.08,62.41,2026-01-01T18:00:00,LATAM,55.45875884156263,Medium
E0019,SGP-SZX,Singapore,Shenzhen,94.98,45.45,94.96,2026-01-01T19:00:00,LATAM,58.27996757988874,Medium
E0020,LAX-SIN,Los Angeles,Singapore,97.24,81.04,13.49,2026-01-01T20:00:00,unknown,85.39646598683096,High
E0021,MUM-DXB,Mumbai,Dubai,8.76,68.63,20.99,2026-01-01T21:00:00,unknown,51.347316101280605,Medium
E0022,HAM-JKT,Hamburg,Jakarta,15.64,59.91,32.66,2026-01-01T22:00:00,LATAM,42.60438952194803,Medium
E0023,HAM-JKT,Hamburg,Jakarta,91.5,7.63,39.42,2026-01-01T23:00:00,APAC,63.63797036592355,Medium
E0024,MUM-DXB,Mumbai,Dubai,55.65,85.81,52.45,2026-01-02T00:00:00,EMEA,66.21431681983296,Medium
E0025,SGP-SZX,Singapore,Shenzhen,78.87,62.68,52.73,2026-01-02T01:00:00,unknown,66.76775245610644,Medium
E0026,MUM-DXB,Mumbai,Dubai,12.14,15.81,57.09,2026-01-02T02:00:00,EMEA,21.84858061777951,Low
E0027,SHA-HKG,Shanghai,Hong Kong,76.08,94.03,92.57,2026-01-02T03:00:00,LATAM,58.99381505590551,Medium
